Week #,Day of Week,Backup Start Time - Hour of Day,Work-Flow-ID,File Name,Size of Backup (GB),Backup Time (hour)
1,1,1,0,0,0,0
1,1,1,2,12,0,0
1,1,1,2,13,0,0
1,1,1,2,14,0,0
1,1,1,2,16,0,0
1,1,1,2,17,0,0
1,1,1,3,18,0,0
1,1,1,3,19,0,0
1,1,1,3,20,0,0
1,1,1,3,21,0,0
1,1,1,3,22,0,0
1,1,1,3,23,0,0
1,1,1,0,1,0.020160491,1
1,1,1,0,2,0.019116012,1
1,1,1,0,3,0.019378809,1
1,1,1,0,4,0.018992364,1
1,1,1,0,5,0.020483209,1
1,1,1,1,6,0.040971216,1
1,1,1,1,7,0.039234877,1
1,1,1,1,8,0.040813426,1
1,1,1,1,9,0.042345607,1
1,1,1,1,10,0.037703881,1
1,1,1,1,11,0.040916968,1
1,1,1,2,15,0.002159921,1
1,1,1,4,24,0.018408685,1
1,1,1,4,25,0.020608349,1
1,1,1,4,26,0.020779303,1
1,1,1,4,27,0.02001508,1
1,1,1,4,28,0.021458775,1
1,1,1,4,29,0.019935554,1
1,1,5,2,12,0,0
1,1,5,2,13,0,0
1,1,5,2,14,0,0
1,1,5,2,16,0,0
1,1,5,2,17,0,0
1,1,5,3,18,0,0
1,1,5,3,19,0,0
1,1,5,3,20,0,0
1,1,5,3,21,0,0
1,1,5,3,22,0,0
1,1,5,3,23,0,0
1,1,5,2,15,0,0
1,1,5,0,0,0.080732044,1
1,1,5,0,1,0.079792427,1
1,1,5,0,2,0.042312931,1
1,1,5,0,3,0.084005172,1
1,1,5,0,4,0.078557789,1
1,1,5,0,5,0.079455869,1
1,1,5,1,6,0.155541564,1
1,1,5,1,7,0.153973828,1
1,1,5,1,8,0.159802063,1
1,1,5,1,9,0.159950658,1
1,1,5,1,10,0.163684525,1
1,1,5,1,11,0.16091829,1
1,1,5,4,24,0.061758282,1
1,1,5,4,25,0.064027501,1
1,1,5,4,26,0.080229034,1
1,1,5,4,27,0.080983995,1
1,1,5,4,28,0.065100504,1
1,1,5,4,29,0.080971035,1
1,1,9,2,12,0,0
1,1,9,2,13,0,0
1,1,9,2,14,0,0
1,1,9,2,16,0,0
1,1,9,2,17,0,0
1,1,9,3,19,0,0
1,1,9,3,20,0,0
1,1,9,3,21,0,0
1,1,9,3,23,0,0
1,1,9,2,15,0,0
1,1,9,3,18,0.004089153,1
1,1,9,3,22,0.000863436,1
1,1,9,0,0,0.097826617,1
1,1,9,0,1,0.097795252,1
1,1,9,0,2,0.099470504,1
1,1,9,0,3,0.098165615,1
1,1,9,0,4,0.101798419,1
1,1,9,0,5,0.101094208,1
1,1,9,4,24,0.096617882,1
1,1,9,4,25,0.080128734,1
1,1,9,4,26,0.120083075,1
1,1,9,4,27,0.119536016,1
1,1,9,4,28,0.122170876,1
1,1,9,4,29,0.119570934,1
1,1,9,1,6,0.154803128,2
1,1,9,1,7,0.160847084,2
1,1,9,1,8,0.15510772,2
1,1,9,1,9,0.158117166,2
1,1,9,1,10,0.169182053,2
1,1,9,1,11,0.162888234,2
1,1,13,2,12,0,0
1,1,13,2,13,0,0
1,1,13,2,17,0,0
1,1,13,3,19,0,0
1,1,13,3,20,0,0
1,1,13,2,15,0,0
1,1,13,3,22,0,0
1,1,13,2,14,0.001254315,1
1,1,13,2,16,0.002869303,1
1,1,13,3,21,0.001603829,1
1,1,13,3,23,0.00152437,1
1,1,13,3,18,0.002398174,1
1,1,13,4,24,0.103177271,1
1,1,13,4,25,0.079781645,1
1,1,13,4,26,0.101452065,1
1,1,13,4,27,0.078242554,1
1,1,13,4,28,0.099436578,1
1,1,13,4,29,0.099952815,1
1,1,13,0,0,0.15979003,2
1,1,13,0,1,0.158068432,2
1,1,13,0,2,0.160326901,2
1,1,13,0,3,0.158667954,2
1,1,13,0,4,0.161325329,2
1,1,13,0,5,0.160633436,2
1,1,17,2,17,0,0
1,1,17,3,19,0,0
1,1,17,3,20,0,0
1,1,17,2,15,0,0
1,1,17,2,14,0,0
1,1,17,3,18,0,0
1,1,13,1,6,1.001292285,4
1,1,13,1,7,1.004775094,4
1,1,13,1,8,0.992092471,4
1,1,13,1,9,1.002378102,4
